Item Name,UOM,Item Category,Variance ,Base Price,ID,No Decimal Values
CHICKEN LEG PIECE,kg,MEAT,0.00,320.00,"292482000004280599",false
CHICKEN LOLLYPOP,kg,MEAT,0.00,250.00,"292482000000390111",false
CHICKEN MASALA,kg,KIRANA,0.00,960.00,"292482000000392031",false
CHICKEN TANDOORI MASALA,kg,KIRANA,0.00,1000.00,"292482000000904023",false
CHICKEN TIKKA MASALA,kg,KIRANA,0.00,1000.00,"292482000000392053",false
CHICKEN- BONELESS,kg,MEAT,10.00,400.00,"292482000000379139",false
CHICKEN- CUT PIECE,kg,MEAT,10.00,240.00,"292482000000390279",false
CHILLY FLAKES,kg,KIRANA,0.00,1200.00,"292482000000390759",false
CHILLY GREEN,kg,VEGETABLES,0.00,100.00,"292482000000368887",false
CHILLY PICKLE ,kg,KIRANA,0.00,400.00,"292482000000390905",false
CHILLY PICKLE ( DONT USE THIS ),Pieces ,KIRANA,0.00,0.00,"292482000000932091",false
CHOCO CHIP ICE CREAM,Pieces ,DAIRY,0.00,200.00,"292482000001364617",true
CHOCOLATE SYRUP,Litre,KIRANA,0.00,240.00,"292482000000390977",true
Coal,kg,DAIRY,0.00,50.00,"292482000001364625",false
COCCINEA - TINDLI,kg,VEGETABLES,0.00,100.00,"292482000000368903",false
COCONUT,Pieces ,VEGETABLES,0.00,50.00,"292482000000375119",true
COCONUT POWDER ,kg,KIRANA,0.00,400.00,"292482000000929347",false
COFFEE,Pieces ,KIRANA,0.00,2.00,"292482000000377743",true
Colour Yellow,Pieces ,KIRANA,0.00,78.00,"292482000001776629",false
COLOUR- GREEN,Pieces ,KIRANA,0.00,90.00,"292482000000390799",false
COLOUR- RED/ORANGE,Pieces ,KIRANA,0.00,85.00,"292482000000390795",false
CORN,Pieces ,VEGETABLES,0.00,25.00,"292482000001218216",false
CORN FLAKES,kg,KIRANA,0.00,600.00,"292482000002879357",false
CORNFLOUR,kg,KIRANA,0.00,100.00,"292482000000392135",false
COW PEA - GREEN CHAWLI,kg,VEGETABLES,0.00,80.00,"292482000000375111",false
COW PEAS (CHAWLI),kg,KIRANA,0.00,2500.00,"292482000005868393",false
CREAM (1 LTR),Litre,DAIRY,0.00,400.00,"292482000000379063",true
CREAM (250 ML),Pieces ,DAIRY,0.00,90.00,"292482000005730825",true
CUCUMBER GREEN,kg,VEGETABLES,0.00,70.00,"292482000000375115",false
CUSTARD POWDER,kg,KIRANA,0.00,500.00,"292482000000406021",false
DAHI (1KG PKT),kg,DAIRY,0.00,86.00,"292482000000379055",true
DAHI (500 GM PKT),Packets,DAIRY,0.00,45.00,"292482000005730857",true
DALIYA,kg,KIRANA,0.00,200.00,"292482000000392151",false
DHANIYA POWDER,kg,KIRANA,0.00,403.75,"292482000000390813",false
DISH WASHER LIQUID,Pieces ,F&B GENERAL PURCHASE,0.00,,"292482000001776621",true
Dishwashing Liquid,Litre,F&B GENERAL PURCHASE,0.00,,"292482000001932057",true
Disposable Glasses,Packets,F&B GENERAL PURCHASE,0.00,,"292482000001776083",false
Drainer,Pieces ,F&B GENERAL PURCHASE,,30.00,"292482000009430526",true
DRUMSTICK,kg,VEGETABLES,0.00,120.00,"292482000000375127",false
DRY COCONUT,kg,KIRANA,0.00,500.00,"292482000000929339",false
EGGS,Pieces ,MEAT,0.00,9.00,"292482000000390185",true
ELAICHI POWDER,kg,KIRANA,0.00,5000.00,"292482000003010209",false
Elephant foot yam,kg,VEGETABLES,0.00,100.00,"292482000009148145",false
ENO ,Pieces ,KIRANA,0.00,11.00,"292482000000406053",true
F APPLE LOCAL INDIAN (IN KG),kg,VEGETABLES,0.00,200.00,"292482000000390231",false
F BANANA REGULAR (PIECES),Pieces ,VEGETABLES,0.00,8.00,"292482000000390259",true
F GRAPES GREEN (IN KG),kg,VEGETABLES,0.00,100.00,"292482000000390275",false
F GUAVA (IN KG),kg,FRUITS,0.00,100.00,"292482000000390287",false
F KIWI IMPORTED (IN KG),kg,FRUITS,0.00,500.00,"292482000000390639",false
F MANGO HAPUS (IN KG),kg,FRUITS,0.00,400.00,"292482000000390659",false
F MANGO RAW (IN KG),kg,FRUITS,0.00,200.00,"292482000000390667",false
F ORANGE INDIAN (IN KG),kg,FRUITS,0.00,120.00,"292482000000390675",false
F PAPAYA (IN KG),kg,FRUITS,0.00,60.00,"292482000000390683",false
F PINAPPLE (IN KG),kg,FRUITS,0.00,140.00,"292482000000390743",false
F POMOGRANATE (IN KG),kg,VEGETABLES,0.00,220.00,"292482000000390695",false
F STRAWBERRY (IN KG),kg,FRUITS,0.00,400.00,"292482000000390703",false
F WATERMELON (IN KG),kg,VEGETABLES,0.00,60.00,"292482000000390707",false
