Villa Name,Active,Primary Villa,Rent Type,Primary,Secondary Villa,Location,State,Head Office,Ekostay ID,Max Occ (member),Haewaya ID,ID,BHK,Bathroom,Category,Modified Time,Added Time
Stock Villa,true,Stock Villa,Lease,false,,Kullu and Manali,Himachal Pradesh,Central Office,144,13.00,,"292482000000368201",5BHK,5.00,Original,23-Jun-2026 15:20:51,20-Aug-2025 12:46:18
Snowpeak Villa,true,Snowpeak Villa,Lease,false,,Kullu and Manali,Himachal Pradesh,Central Office,142,15.00,,"292482000000368197",5BHK,5.00,Original,23-Jun-2026 15:20:51,20-Aug-2025 12:46:18
Woodlock Apartment - Candolim,true,Woodlock Apartment - Candolim,Lease,false,Woodlock Apartment - Candolim,Goa,Goa,Central Office,138,4.00,561,"292482000000368193",2BHK,2.00,Original,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Green Door Apartment - Candolim,false,Green Door Apartment - Candolim,Lease,false,Green Door Apartment - Candolim,Goa,Goa,Central Office,130,6.00,560,"292482000000368189",2BHK,2.00,Original,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Solace Villa- Candolim,true,Solace Villa- Candolim,Lease,false,Solace Villa- Candolim,Goa,Goa,Central Office,128,10.00,563,"292482000000368185",3BHK,3.00,Original,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Signature Apartment - Candolim,true,Signature Apartment - Candolim,Lease,false,Signature Apartment - Candolim,Goa,Goa,Central Office,127,6.00,562,"292482000000368181",2BHK,2.00,Original,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Tumbleweed Villa,false,Tumbleweed Villa,Lease,false,Tumbleweed Villa,Solan,Himachal Pradesh,Central Office,124,12.00,,"292482000000368177",4BHK,4.00,Original,23-Jun-2026 15:21:38,20-Aug-2025 12:44:37
Frost Berry Villa,false,Frost Berry Villa,Lease,false,Frost Berry Villa,Solan,Himachal Pradesh,Central Office,123,8.00,,"292482000000368173",3BHK,3.00,Original,23-Jun-2026 15:21:38,20-Aug-2025 12:44:37
Lakewood Villa,true,Lakewood Villa,Lease,false,,Arpookara,Kerala,Central Office,120,8.00,,"292482000000368169",3BHK,3.00,Original,23-Jun-2026 15:22:02,20-Aug-2025 12:44:00
Rosewood Villa,false,Rosewood Villa,Lease,false,Rosewood Villa,Munnar,Kerala,Central Office,117,25.00,,"292482000000368165",5BHK,5.00,Original,23-Jun-2026 15:22:18,20-Aug-2025 12:43:22
Foothill Villa,true,Foothill Villa,Lease,false,,Bhimtal,Uttarakand,Central Office,107,12.00,,"292482000000368161",4BHK,4.00,Original,23-Jun-2026 15:19:49,20-Aug-2025 12:47:20
Camden Villa,true,Camden Villa,Lease,false,,Nainital,Uttarakand,Central Office,106,10.00,,"292482000000368157",3BHK,3.00,Original,23-Jun-2026 15:20:07,20-Aug-2025 12:47:00
Chestnut Villa,true,Chestnut Villa,Lease,false,Chestnut Villa,Karjat,Maharashtra,Central Office,101,25.00,"1057,950","292482000000368153",5BHK,6.00,Gold,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
EKOSTAY- Simba Villa,true,EKOSTAY- Simba Villa,Revenue Share,false,EKOSTAY- Simba Villa,Karjat,Maharashtra,Central Office,95,20.00,1053,"292482000000368149",5BHK,5.00,Original,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
Eclipse Villa,true,Eclipse Villa,Lease,false,Eclipse Villa,Karjat,Maharashtra,Central Office,94,15.00,1052,"292482000000368145",3BHK,3.00,Original,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
EKOSTAY- Nest Villa,true,EKOSTAY- Nest Villa,Revenue Share,false,EKOSTAY- Nest Villa,Karjat,Maharashtra,Central Office,93,15.00,1055,"292482000000368141",3BHK,4.00,Original,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
Brickstone Villa,true,Brickstone Villa,Revenue Share,false,Brickstone Villa,Igatpuri,Maharashtra,Central Office,92,15.00,"1044,954","292482000000368137",4BHK,4.00,Gold,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
Octagon Villa,true,Octagon Villa,Lease,false,Octagon Villa,Lonavala,Maharashtra,Central Office,76,35.00,"914,999","292482000000368133",8BHK,9.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Zoh Villa,true,Zoh Villa,Lease,false,,Jodhpur,Rajasthan,Central Office,70,3.00,,"292482000000368129",1BHK,1.00,Original,23-Jun-2026 15:20:22,20-Aug-2025 12:46:39
Suite @ The Almond Tree,false,Suite @ The Almond Tree,Lease,false,,Jodhpur,Rajasthan,Central Office,68,3.00,,"292482000000368125",1BHK,1.00,Gold,23-Jun-2026 15:20:22,20-Aug-2025 12:46:39
Tropicana Villa (Aum),true,Tropicana Villa (Aum),Lease,false,Tropicana Villa (Aum),Lonavala,Maharashtra,Central Office,65,16.00,"908,1003","292482000000368121",4BHK,4.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
EKOSTAY- Tropicana Villa (Nama),true,EKOSTAY- Tropicana Villa (Nama),Lease,false,EKOSTAY- Tropicana Villa (Nama),Lonavala,Maharashtra,Central Office,63,16.00,"909,6417","292482000000368117",4BHK,4.00,Original,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
EKOSTAY- Deltin Villa,true,EKOSTAY- Deltin Villa,Lease,false,EKOSTAY- Deltin Villa,Lonavala,Maharashtra,Central Office,62,14.00,"920,1017","292482000000368113",2BHK,2.00,Original,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Titanium Villa,true,Titanium Villa,Revenue Share,false,Titanium Villa,Lonavala,Maharashtra,Central Office,58,18.00,1016,"292482000000368109",3BHK,4.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Oasis Villa - Saligaon,true,Oasis Villa - Saligaon,Revenue Share,false,Oasis Villa - Saligaon,Goa,Goa,Central Office,46,12.00,565,"292482000000368105",3BHK,4.00,Gold,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Saltwater Villa- Nerul,true,Saltwater Villa- Nerul,Lease,false,Saltwater Villa- Nerul,Goa,Goa,Central Office,44,14.00,545,"292482000000368101",4BHK,4.00,Gold,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Ocean Crest Villa- Anjuna Beach,true,Ocean Crest Villa- Anjuna Beach,Lease,false,Ocean Crest Villa- Anjuna Beach,Goa,Goa,Central Office,41,10.00,530,"292482000000368097",3BHK,2.00,Original,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Casa Vaga- Vagator,true,Casa Vaga- Vagator,Lease,false,Casa Vaga- Vagator,Goa,Goa,Central Office,40,14.00,547,"292482000000368093",4BHK,5.00,Original,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Casa Porto- Anjuna,true,Casa Porto- Anjuna,Lease,false,Casa Porto- Anjuna,Goa,Goa,Central Office,38,16.00,556,"292482000000368089",5BHK,5.00,Gold,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Paramount Villa,false,Paramount Villa,Revenue Share,false,Paramount Villa,Lonavala,Maharashtra,Central Office,35,18.00,"911,998","292482000000368085",4BHK,5.00,Original,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Blue Pebble Villa,true,Blue Pebble Villa,Lease,false,Blue Pebble Villa,Lonavala,Maharashtra,Central Office,34,20.00,"5012,922","292482000000368081",4.5BHK,5.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Sky Villa,false,Sky Villa,Lease,false,Sky Villa,Lonavala,Maharashtra,Central Office,33,18.00,"917,1026,633,994","292482000000368077",3BHK,3.00,Original,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
EKOSTAY- Kingfisher Villa,true,EKOSTAY- Kingfisher Villa,Lease,false,EKOSTAY- Kingfisher Villa,Lonavala,Maharashtra,Central Office,32,18.00,"916,1020","292482000000368073",4BHK,3.00,Original,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
EKOSTAY- Sucasa Villa,true,EKOSTAY- Sucasa Villa,Lease,false,EKOSTAY- Sucasa Villa,Lonavala,Maharashtra,Central Office,31,16.00,"915,1007","292482000000368069",5BHK,5.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Hill View Villa,true,Hill View Villa,Lease,false,Hill View Villa,Lonavala,Maharashtra,Central Office,30,10.00,"919,1018","292482000000368065",2BHK,2.00,Original,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
EKOSTAY- Villa Blanco,true,EKOSTAY- Villa Blanco,Lease,false,EKOSTAY- Villa Blanco,Lonavala,Maharashtra,Central Office,28,12.00,"927,1022","292482000000368061",3BHK,3.00,Original,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Mount Emerald Villa,true,Mount Emerald Villa,Lease,false,Mount Emerald Villa,Alibaug,Maharashtra,Central Office,22,18.00,"943,659,800,6495","292482000000368057",4BHK,3.00,Original,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Casa Polo,true,Casa Polo,Lease,false,Casa Polo,Alibaug,Maharashtra,Central Office,21,15.00,"941,6490","292482000000368053",3BHK,3.00,Original,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Panorama Villa,true,Panorama Villa,Lease,false,Panorama Villa,Alibaug,Maharashtra,Central Office,20,15.00,"945,6506","292482000000368049",2BHK,2.00,Original,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Lakefront Villa,true,Lakefront Villa,Lease,false,,Alibaug,Maharashtra,Central Office,19,20.00,"942,6491","292482000000368045",4BHK,4.00,Original,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Casa Royale,true,Casa Royale,Lease,false,Casa Royale,Alibaug,Maharashtra,Central Office,16,25.00,"6505,930","292482000000368041",6BHK,6.00,Original,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
EKOSTAY- Bali Villa,false,EKOSTAY- Bali Villa,Revenue Share,false,EKOSTAY- Bali Villa,Alibaug,Maharashtra,Central Office,13,15.00,6507,"292482000000368037",5BHK,5.00,Gold,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Pinewood Villa,true,Pinewood Villa,Lease,false,Pinewood Villa,Alibaug,Maharashtra,Central Office,12,15.00,"6649,6487","292482000000368033",3BHK,3.00,Original,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
