Villa Name,Active,Primary Villa,Rent Type,Primary,Secondary Villa,Location,State,Head Office,Ekostay ID,Max Occ (member),Haewaya ID,ID,BHK,Bathroom,Category,Modified Time,Added Time
Driftwood Villa,true,Driftwood Villa,Lease,false,Driftwood Villa,Alibaug,Maharashtra,Central Office,354,18.00,"5450,6510","292482000000368557",4BHK,4.00,Original,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Infinity Villa,true,Infinity Villa,Lease,false,Infinity Villa,Lonavala,Maharashtra,Central Office,353,18.00,"5014,5219","292482000000368553",4BHK,5.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Amanta Villa 21BHK,true,Amanta Villa 21BHK,Lease,true,"Amanta Hills 7BHK,Amanta Green 8BHK,Amanta Palms 6BHK,EKOSTAY -Amanta Villa 15BHK",Karjat,Maharashtra,Central Office,352,95.00,"5237,10687,","292482000000368549",21BHK,25.00,Original,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
EKOSTAY -Amanta Villa 15BHK,true,Amanta Villa 21BHK,Lease,false,,Karjat,Maharashtra,Central Office,351,60.00,"5237,","292482000000368545",15BHK,19.00,Original,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
Amanta Palms 6BHK,true,Amanta Villa 21BHK,Lease,false,,Karjat,Maharashtra,Central Office,350,25.00,"1058,10682,","292482000000368541",6BHK,6.00,Original,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
Amanta Green 8BHK,true,Amanta Villa 21BHK,Lease,false,,Karjat,Maharashtra,Central Office,349,30.00,"5400,10684,","292482000000368537",8BHK,10.00,Original,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
Amanta Hills 7BHK,true,Amanta Villa 21BHK,Lease,false,,Karjat,Maharashtra,Central Office,348,30.00,"5399,10683,","292482000000368533",7BHK,9.00,Original,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
Ikigai Villa,true,Ikigai Villa,Revenue Share,false,,Mussoorie,Uttarakand,Central Office,347,9.00,,"292482000000368529",3BHK,5.00,Gold,23-Jun-2026 15:18:05,20-Aug-2025 12:48:08
Oakwood Chalet,true,Oakwood Chalet,Lease,false,Oakwood Chalet,Alibaug,Maharashtra,Central Office,346,12.00,"5091,6509","292482000000368525",4BHK,4.00,Gold,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
White Swan Villa,true,White Swan Villa,Lease,false,White Swan Villa,Panchgani,Maharashtra,Central Office,344,35.00,"1060,5013","292482000000368521",7BHK,7.00,Gold,18-Aug-2026 18:49:36,20-Aug-2025 12:40:36
Casa Coconut,false,Casa Coconut,Revenue Share,false,Casa Coconut,Alibaug,Maharashtra,Central Office,343,13.00,,"292482000000368517",3BHK,3.00,Original,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Belvedere Apartment,true,Belvedere Apartment,Lease,false,Belvedere Apartment,Goa,Goa,Central Office,342,4.00,964,"292482000000368513",2BHK,2.00,Original,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Casa Enzo Villa,true,Casa Enzo Villa,Lease,false,Casa Enzo Villa,Lonavala,Maharashtra,Central Office,341,30.00,"4850,958","292482000000368509",7BHK,8.00,Luxury,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Gravity Villa,true,Gravity Villa,Lease,false,Gravity Villa,Lonavala,Maharashtra,Central Office,337,30.00,"959,1024","292482000000368505",6BHK,6.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
